species,LengthU_MEAN,WingU_MEAN,WingM_MEAN,WingF_MEAN,TailU_MEAN,TailM_MEAN,TailF_MEAN,BillU_MEAN,BillM_MEAN,BillF_MEAN,TarsusU_MEAN,TarsusM_MEAN,TarsusF_MEAN,WeightU_MEAN,WeightM_MEAN,WeightF_MEAN,Sexual dimorphism,Clutch_MIN,Clutch_MAX,Clutch_MEAN,Broods per year,EggL_MEAN,EggW_MEAN,Egg_MASS,Young,Association during nesting,Nest type,Nest building,Mating system,Incubation period,Incubation sex,Hatching,Fledging period,Age of independence,Feeding independence,Age of first breeding,Life span,Association outside the breeding season,Territoriality,Sedentary,Facultative migrant,Short distance migrant,Long distance migrant,Deciduous forest,Coniferous forest,Woodland,Shrub,Savanna,Tundra,Grassland,Mountain meadows,Reed,Swamps,Desert,Freshwater,Marine,Rocks,Human settlements,Folivore_Y,Frugivore_Y,Granivore_Y,Arthropods_Y,Other invertebrates_Y,Fish_Y,Other vertebrates_Y,Carrion_Y,Omnivore_Y,Folivore_B,Frugivore_B,Granivore_B,Arthropods_B,Other invertebrates_B,Fish_B,Other vertebrates_B,Carrion_B,Omnivore_B
garrulus glandarius,34.5,182.1,184.4,179.8,145.35,148.0,142.7,33.4,33.8,33.0,43.1,43.5,42.7,164.4,167.4,161.4,0.0,3.0,10.0,6.0,1.0,31.8,23.2,8.74,0,3,5,1,0,17.0,2,1,26.0,53.0,51.0,2.0,17.0,2,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
pica pica,45.0,194.65,200.4,188.9,248.95,257.4,240.5,39.1,40.4,37.8,50.45,51.7,49.2,228.0,236.0,220.0,0.0,3.0,10.0,6.0,1.0,33.7,24.1,10.1,0,3,1,1,4,22.0,2,1,27.0,75.0,75.0,2.0,22.0,5,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
emberiza calandra,18.0,97.1,101.4,92.8,66.25,69.7,62.8,16.05,16.5,15.6,25.0,25.3,24.7,47.15,54.0,40.3,0.0,1.0,7.0,5.0,1.5,24.1,17.6,3.91,0,3,3,2,1,13.0,2,3,12.0,25.0,25.0,1.0,11.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
emberiza citrinella,16.25,87.05,89.1,85.0,68.85,70.6,67.1,14.0,14.2,13.8,19.4,19.5,19.3,26.75,26.7,26.8,1.0,2.0,6.0,4.0,2.0,21.4,16.4,2.93,0,3,3,2,0,13.0,2,3,12.0,23.0,23.0,1.0,13.0,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
carduelis carduelis,12.0,76.95,78.4,75.5,46.5,47.2,45.8,15.5,15.9,15.1,14.45,14.6,14.3,15.45,15.4,15.5,0.0,3.0,7.0,5.0,2.0,17.0,12.8,1.46,0,5,5,2,0,12.0,2,1,15.0,25.0,24.5,1.0,14.0,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
coccothraustes coccothraustes,18.0,102.5,103.6,101.4,56.35,57.2,55.5,24.85,25.3,24.4,21.15,21.4,20.9,57.9,58.8,57.0,1.0,2.0,7.0,4.5,1.0,24.1,17.5,3.89,0,4,5,2,0,12.0,2,1,13.0,30.0,30.0,1.0,13.0,0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
fringilla coelebs,14.5,86.75,89.5,84.0,62.15,64.5,59.8,15.0,15.0,15.0,17.8,18.0,17.6,22.15,23.5,20.8,1.0,3.0,6.0,4.5,1.0,19.6,14.7,2.2,0,3,5,2,0,13.0,2,3,14.0,35.0,35.0,1.0,16.0,0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
fringilla montifringilla,14.0,90.25,93.2,87.3,64.15,66.3,62.0,15.5,15.6,15.4,18.7,18.8,18.6,22.9,22.6,23.2,1.0,3.0,8.0,6.0,1.0,19.4,14.5,2.14,0,6,5,2,0,12.0,2,3,14.0,35.0,35.0,1.0,15.0,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
chloris chloris,15.0,87.05,88.3,85.8,56.4,57.2,55.6,16.65,16.7,16.6,17.6,17.7,17.5,26.25,25.8,26.7,1.0,2.0,7.0,5.0,2.0,20.1,14.6,2.2,0,3,5,2,1,13.0,2,3,14.0,28.0,28.0,1.0,14.0,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
linaria cannabina,13.5,77.85,79.0,76.7,51.35,51.6,51.1,12.8,12.9,12.7,15.75,15.9,15.6,19.25,19.6,18.9,1.0,3.0,7.0,5.0,2.5,18.0,13.3,1.66,0,5,5,2,0,12.0,2,1,14.0,28.0,28.0,1.0,9.0,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
loxia curvirostra,16.5,97.25,98.3,96.2,57.8,58.4,57.2,22.6,22.9,22.3,18.0,18.0,18.0,41.7,41.2,42.2,1.0,2.0,5.0,4.0,2.0,21.9,15.9,2.95,0,3,5,2,0,15.0,2,1,23.0,58.0,58.0,1.0,14.0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
pyrrhula pyrrhula,16.0,83.5,84.4,82.6,64.55,65.1,64.0,13.9,13.9,13.9,16.95,17.0,16.9,31.0,31.0,31.0,1.0,3.0,7.0,4.5,2.0,19.9,14.6,2.22,0,3,5,2,0,13.0,2,1,15.0,33.0,33.0,1.0,13.0,7,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
spinus spinus,12.0,72.8,73.7,71.9,46.6,47.0,46.2,12.95,13.0,12.9,13.75,13.7,13.8,13.8,14.2,13.4,1.0,3.0,6.0,4.0,2.0,16.4,12.2,1.29,0,3,5,2,0,13.0,2,3,14.0,27.0,26.5,1.0,14.0,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
lanius collurio,17.0,93.05,93.4,92.7,74.3,75.5,73.1,18.35,18.5,18.2,23.8,24.0,23.6,31.2,28.9,33.5,1.0,3.0,9.0,5.0,1.0,22.3,16.7,3.15,0,3,5,1,0,14.0,2,1,15.0,37.0,31.5,1.0,10.0,4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
locustella naevia,12.5,64.1,64.6,63.6,53.3,55.0,51.6,14.3,14.4,14.2,20.25,20.4,20.1,12.9,12.9,12.9,0.0,3.0,7.0,5.5,2.0,17.8,13.6,1.73,0,3,3,1,0,13.0,1,3,11.0,28.0,28.0,1.0,6.0,4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
anthus pratensis,14.5,79.25,81.4,77.1,56.35,58.0,54.7,14.45,14.7,14.2,21.15,21.4,20.9,18.5,18.0,19.0,0.0,2.0,6.0,4.0,2.0,19.5,14.4,2.06,0,3,3,2,0,13.0,2,1,15.0,31.0,28.5,1.0,9.0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
anthus trivialis,15.0,87.3,88.7,85.9,58.05,59.3,56.8,15.1,15.3,14.9,21.15,21.1,21.2,22.15,21.9,22.4,0.0,2.0,8.0,4.0,1.5,20.3,15.4,2.44,0,3,3,2,0,13.0,2,1,13.0,24.0,22.0,1.0,9.0,4,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
motacilla alba,18.0,89.9,91.8,88.0,83.3,85.0,81.6,15.95,16.1,15.8,23.5,23.8,23.2,20.5,20.6,20.4,1.0,3.0,8.0,5.5,2.0,20.4,15.2,2.33,0,3,4,1,0,13.0,1,3,14.0,29.0,24.5,1.0,14.0,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
motacilla flava,17.0,80.5,82.3,78.7,67.9,69.4,66.4,16.05,16.2,15.9,23.8,24.0,23.6,16.5,17.0,16.0,1.0,3.0,8.0,5.0,1.0,18.9,14.1,1.85,0,3,3,2,0,12.0,1,3,16.0,29.0,29.0,1.0,9.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
erithacus rubecula,14.0,72.05,73.2,70.9,56.05,56.9,55.2,14.5,14.5,14.5,25.7,25.8,25.6,17.55,16.6,18.5,0.0,2.0,8.0,5.0,2.0,19.6,15.0,2.4,0,3,4,2,0,14.0,2,3,13.0,33.0,33.0,1.0,19.0,4,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
ficedula hypoleuca,13.0,78.85,79.8,77.9,53.25,53.4,53.1,11.8,11.8,11.8,17.0,17.0,17.0,13.2,12.4,14.0,1.0,5.0,8.0,6.5,1.0,17.4,13.4,1.7,0,3,4,2,1,14.0,2,3,16.0,25.0,24.0,2.0,11.0,4,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
ficedula parva,11.5,67.55,68.7,66.4,50.95,51.8,50.1,12.1,12.1,12.1,16.8,16.6,17.0,9.9,9.9,9.9,1.0,4.0,7.0,5.5,1.0,16.6,12.9,1.45,0,3,4,2,0,13.0,2,3,13.0,21.0,21.0,1.0,12.0,4,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
luscinia megarhynchos,16.5,83.5,84.5,82.5,65.75,66.7,64.8,17.1,17.4,16.8,26.9,27.1,26.7,20.15,20.9,19.4,0.0,2.0,6.0,4.5,1.5,20.9,15.5,2.65,0,3,3,2,0,13.0,2,1,11.0,29.0,29.0,1.0,11.0,4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
muscicapa striata,14.5,85.9,85.8,86.0,60.85,60.8,60.9,15.45,15.4,15.5,14.65,14.6,14.7,16.3,16.3,16.3,0.0,2.0,7.0,5.0,1.5,18.7,14.0,1.9,0,3,5,1,0,13.0,2,3,13.0,34.0,34.0,1.0,11.0,4,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
oenanthe oenanthe,15.0,96.4,98.1,94.7,53.0,54.5,51.5,17.3,17.5,17.1,26.95,27.2,26.7,22.95,23.6,22.3,1.0,2.0,9.0,5.5,1.5,21.0,15.8,2.83,0,3,4,2,0,13.0,2,3,15.0,30.0,27.5,1.0,10.0,4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
phoenicurus ochruros,14.5,86.5,87.6,85.4,59.6,60.8,58.4,15.05,15.2,14.9,23.35,23.4,23.3,16.0,15.8,16.2,1.0,2.0,8.0,5.0,2.0,19.4,14.4,2.16,0,3,4,2,0,15.0,2,3,16.0,27.0,27.0,1.0,10.0,6,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
phoenicurus phoenicurus,14.0,79.55,80.8,78.3,54.75,55.6,53.9,14.6,14.7,14.5,21.9,21.8,22.0,15.7,16.0,15.4,1.0,3.0,10.0,6.0,2.0,18.7,13.8,1.9,0,3,4,2,0,13.0,2,3,15.0,29.0,28.0,1.0,10.0,6,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
saxicola rubetra,12.5,76.45,77.1,75.8,44.0,44.9,43.1,14.8,14.8,14.8,22.3,22.2,22.4,16.6,16.5,16.7,1.0,2.0,7.0,5.5,1.0,18.9,14.3,2.06,0,3,3,2,0,13.0,2,3,18.0,29.0,29.0,1.0,7.0,4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
saxicola torquatus,12.5,66.1,66.6,65.6,45.45,45.9,45.0,15.25,15.2,15.3,22.95,22.9,23.0,14.5,14.2,14.8,1.0,2.0,7.0,5.0,2.5,17.9,14.1,1.87,0,3,3,2,0,14.0,2,3,14.0,29.0,25.5,1.0,9.0,6,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
oriolus oriolus,24.0,152.55,153.9,151.2,84.1,84.1,84.1,27.8,27.8,27.8,23.15,23.0,23.3,69.75,68.5,71.0,1.0,2.0,6.0,3.5,1.0,30.4,21.3,7.3,0,3,5,2,0,17.0,1,3,18.0,29.0,29.0,2.0,11.0,4,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
cyanistes caeruleus,11.5,66.25,67.5,65.0,50.55,51.5,49.6,9.05,9.1,9.0,17.2,17.6,16.8,11.5,11.5,11.5,0.0,6.0,16.0,11.0,1.0,15.6,11.9,1.14,0,3,4,2,0,14.0,2,1,19.0,32.0,32.0,1.0,12.0,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
lophophanes cristatus,11.5,63.65,65.1,62.2,50.0,50.6,49.4,11.2,11.2,11.2,18.6,18.8,18.4,11.35,11.5,11.2,0.0,6.0,7.0,6.5,1.0,16.3,12.6,1.31,0,3,4,2,0,15.0,2,1,20.0,43.0,43.0,1.0,12.0,0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
